Context,Word,Probability
        [MASK],,1.6024438309614197e-07
        [MASK],Alle,0.0001523316459497437
       Alle [MASK],Tiere,0.0002919277467299253
      Alle Tiere [MASK],sollten,7.625301805092022e-05
     Alle Tiere sollten [MASK],eine,0.00042648823000490665
    Alle Tiere sollten eine [MASK],Art,0.0032321412581950426
   Alle Tiere sollten eine Art [MASK],Entschädigung,6.17178957327269e-05
  Alle Tiere sollten eine Art Entschädigung [MASK],sein,0.0001091507583623752
 Alle Tiere sollten eine Art Entschädigung sein [MASK],,6.145092612541703e-08
Alle Tiere sollten eine Art Entschädigung sein  [MASK],weil,6.954929858693504e-07
Tiere sollten eine Art Entschädigung sein  weil [MASK],ihre,0.0023546351585537195
sollten eine Art Entschädigung sein  weil ihre [MASK],Mutter,0.011787108145654202
eine Art Entschädigung sein  weil ihre Mutter [MASK],spät,4.4932203309144825e-05
Art Entschädigung sein  weil ihre Mutter spät [MASK],Feierabend,9.8978750884271e-07
Entschädigung sein  weil ihre Mutter spät Feierabend [MASK],hatte,0.009484083391726017
sein  weil ihre Mutter spät Feierabend hatte [MASK],und,0.0003919231239706278
 weil ihre Mutter spät Feierabend hatte und [MASK],ihr,0.003869449719786644
weil ihre Mutter spät Feierabend hatte und ihr [MASK],Vater,0.24504519999027252
ihre Mutter spät Feierabend hatte und ihr Vater [MASK],soviel,7.743859896436334e-05
Mutter spät Feierabend hatte und ihr Vater soviel [MASK],in,0.00016133672033902258
spät Feierabend hatte und ihr Vater soviel in [MASK],der,0.007126912008970976
Feierabend hatte und ihr Vater soviel in der [MASK],Welt,0.003319223877042532
hatte und ihr Vater soviel in der Welt [MASK],herumfuhr,0.003148953663185239
und ihr Vater soviel in der Welt herumfuhr [MASK],,3.8182438402145635e-06
ihr Vater soviel in der Welt herumfuhr  [MASK],Sofie,4.281053733734552e-09
Vater soviel in der Welt herumfuhr  Sofie [MASK],,7.403900212921144e-07
soviel in der Welt herumfuhr  Sofie  [MASK],warf,6.672604285995476e-06
in der Welt herumfuhr  Sofie  warf [MASK],die,0.0005811976152472198
der Welt herumfuhr  Sofie  warf die [MASK],Schultasche,1.4677004855911946e-06
Welt herumfuhr  Sofie  warf die Schultasche [MASK],in,0.00042270400444976985
herumfuhr  Sofie  warf die Schultasche in [MASK],die,0.00666814437136054
 Sofie  warf die Schultasche in die [MASK],Ecke,0.0715469941496849
Sofie  warf die Schultasche in die Ecke [MASK],,5.233959541328659e-07
 warf die Schultasche in die Ecke  [MASK],und,0.0017454444896429777
warf die Schultasche in die Ecke  und [MASK],stellte,0.0013344179606065154
die Schultasche in die Ecke  und stellte [MASK],Sherekan,7.887101105552574e-07
Schultasche in die Ecke  und stellte Sherekan [MASK],eine,0.00025174536858685315
in die Ecke  und stellte Sherekan eine [MASK],Schale,0.00039859855314716697
die Ecke  und stellte Sherekan eine Schale [MASK],mit,0.0036389168817549944
Ecke  und stellte Sherekan eine Schale mit [MASK],Katzenfutter,2.2970878490014002e-05
 und stellte Sherekan eine Schale mit Katzenfutter [MASK],hin,0.01291105430573225
und stellte Sherekan eine Schale mit Katzenfutter hin [MASK],,3.143755691326078e-07
stellte Sherekan eine Schale mit Katzenfutter hin  [MASK],Dann,1.919799842653447e-06
Sherekan eine Schale mit Katzenfutter hin  Dann [MASK],,3.137581359169417e-07
eine Schale mit Katzenfutter hin  Dann  [MASK],liess,6.18340345681645e-06
Schale mit Katzenfutter hin  Dann  liess [MASK],sie,0.008374268189072609
mit Katzenfutter hin  Dann  liess sie [MASK],sich,0.003248083172366023
Katzenfutter hin  Dann  liess sie sich [MASK],mit,0.00019188829173799604
hin  Dann  liess sie sich mit [MASK],dem,0.006301395129412413
 Dann  liess sie sich mit dem [MASK],geheimnisvollen,1.0335976412534364e-06
Dann  liess sie sich mit dem geheimnisvollen [MASK],Brief,0.0013964732643216848
 liess sie sich mit dem geheimnisvollen Brief [MASK],in,0.00018216898024547845
liess sie sich mit dem geheimnisvollen Brief in [MASK],der,0.00441314373165369
sie sich mit dem geheimnisvollen Brief in der [MASK],Hand,0.05583300068974495
sich mit dem geheimnisvollen Brief in der Hand [MASK],auf,0.0016992969904094934
mit dem geheimnisvollen Brief in der Hand auf [MASK],einen,0.0004810781974811107
dem geheimnisvollen Brief in der Hand auf einen [MASK],Küchenhocker,4.273130343790399e-06
geheimnisvollen Brief in der Hand auf einen Küchenhocker [MASK],fallen,0.002151746768504381
Brief in der Hand auf einen Küchenhocker fallen [MASK],,2.926299771388585e-07
in der Hand auf einen Küchenhocker fallen  [MASK],Wer,1.1770455898840737e-07
der Hand auf einen Küchenhocker fallen  Wer [MASK],bist,1.0311668120266404e-05
Hand auf einen Küchenhocker fallen  Wer bist [MASK],Du,0.002162376418709755
auf einen Küchenhocker fallen  Wer bist Du [MASK],,5.4707047780766516e-08
einen Küchenhocker fallen  Wer bist Du  [MASK],Wenn,3.351673512952402e-05
Küchenhocker fallen  Wer bist Du  Wenn [MASK],sie,1.3892230526835192e-05
fallen  Wer bist Du  Wenn sie [MASK],das,5.9627174778142944e-05
 Wer bist Du  Wenn sie das [MASK],wüsste,0.005508498754352331
Wer bist Du  Wenn sie das wüsste [MASK],,1.3991201086582805e-08
bist Du  Wenn sie das wüsste  [MASK],Sie,0.0008712794515304267
Du  Wenn sie das wüsste  Sie [MASK],war,8.248673111665994e-05
 Wenn sie das wüsste  Sie war [MASK],natürlich,5.25112091054325e-06
Wenn sie das wüsste  Sie war natürlich [MASK],Sofie,1.4611058531954768e-06
sie das wüsste  Sie war natürlich Sofie [MASK],Amundsen,1.1112255378975533e-05
das wüsste  Sie war natürlich Sofie Amundsen [MASK],,3.218054871467757e-07
wüsste  Sie war natürlich Sofie Amundsen  [MASK],aber,7.475361053366214e-05
 Sie war natürlich Sofie Amundsen  aber [MASK],wer,0.0011620611185207963
Sie war natürlich Sofie Amundsen  aber wer [MASK],war,0.007356493268162012
war natürlich Sofie Amundsen  aber wer war [MASK],das,6.212578591657802e-05
natürlich Sofie Amundsen  aber wer war das [MASK],,1.5576278045159597e-08
Sofie Amundsen  aber wer war das  [MASK],Das,6.414219910766406e-07
Amundsen  aber wer war das  Das [MASK],hatte,3.4082102047250373e-06
 aber wer war das  Das hatte [MASK],sie,1.817374322854448e-05
aber wer war das  Das hatte sie [MASK],noch,0.0005113258957862854
wer war das  Das hatte sie noch [MASK],nicht,0.010333627462387085
war das  Das hatte sie noch nicht [MASK],richtig,0.00017940736142918468
das  Das hatte sie noch nicht richtig [MASK],herausgefunden,2.647584733495023e-05
 Das hatte sie noch nicht richtig herausgefunden [MASK],,6.482910208660542e-08
Das hatte sie noch nicht richtig herausgefunden  [MASK],Wenn,1.135145311081942e-08
hatte sie noch nicht richtig herausgefunden  Wenn [MASK],sie,0.024205032736063004
sie noch nicht richtig herausgefunden  Wenn sie [MASK],nun,0.0012986500514671206
noch nicht richtig herausgefunden  Wenn sie nun [MASK],anders,0.000814512895885855
nicht richtig herausgefunden  Wenn sie nun anders [MASK],hiesse,7.241718776640482e-06
richtig herausgefunden  Wenn sie nun anders hiesse [MASK],,1.4063084563531447e-07
herausgefunden  Wenn sie nun anders hiesse  [MASK],Anne,3.3803021324274596e-06
 Wenn sie nun anders hiesse  Anne [MASK],Knutsen,3.9478837265960465e-07
Wenn sie nun anders hiesse  Anne Knutsen [MASK],zum,1.4559914234268945e-05
sie nun anders hiesse  Anne Knutsen zum [MASK],Tür,7.3689687951628e-07
nun anders hiesse  Anne Knutsen zum Tür [MASK],,4.329165914640498e-09
anders hiesse  Anne Knutsen zum Tür  [MASK],Wäre,3.4101230284022677e-08
hiesse  Anne Knutsen zum Tür  Wäre [MASK],sie,8.03302555141272e-06
 Anne Knutsen zum Tür  Wäre sie [MASK],dann,0.0008364815730601549
Anne Knutsen zum Tür  Wäre sie dann [MASK],auch,0.0016462495550513268
Knutsen zum Tür  Wäre sie dann auch [MASK],eine,0.00027740857331082225
zum Tür  Wäre sie dann auch eine [MASK],andere,0.00829400960355997
Tür  Wäre sie dann auch eine andere [MASK],,1.6707548677885597e-09
